stuff_id,name,age,phone,dept,company,enroll_date
01,nio,22,18611044558,dev,新华电商,2016-11-23
02,fireman,18,1383838438,op,麦乐购,2016-11-23
03,张淑娟,18,18910520361,测试,亿美汇金,2016-11-23
04,王小强,18,13718019182,运维,祺鲲科技,2016-11-23
05,尹正杰,18,15321095200,运维,睿智融科,2016-11-23
06,陈泳旭,19,13311238852,运维,美力科技,2016-11-23
07,邢国彪,18,15022381830,运维,中科软,2016-11-11
08,马芷晴,21,13220179001,运维,祺鲲科技,2015-11-23
09,闫帅,18,15110202668,运维,奥鹏教育,2014-11-23
10,赵梦,18,15727337836,运维,中侨信,2016-11-23
11,丁阳,18,18311028091,运维,中科软,2016-11-23
12,李向阳,18,13622004447,运维,信工所,2015-11-23
13,nio,22,13552791537,dev,eeo,2016-1-1
